AG 	Aargau
AI 	Appenzell Innerhoden
AR 	Appenzell Ausserhoden
BE 	Bern
BL 	Basel-Landschaft
BS 	Basel-Stadt
FR 	Freiburg
GE 	Genf
GL 	Glarus
GR 	Graubünden
JU 	Jura
LU 	Luzern
NE 	Neuenburg, Neuchâtel
NW 	Nidwalden
OW 	Obwalden
SG 	St. Gallen
SH 	Schaffhausen
SO 	Solothurn
SZ 	Schwyz
TG 	Thurgau
TI 	Tessin
UR 	Uri
VD 	Waadt
VS 	Wallis
ZG 	Zug
ZH 	Zürich
